Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
5.54000,-3.38,11.6,-7.66,14.3
5.54000,-3.21,11.4,-7.98,14.3
5.54000,-3,11.2,-8.32,14.2
5.54000,-2.75,10.9,-8.66,14.2
5.55000,-2.47,10.6,-9,14.2
5.55000,-2.17,10.3,-9.34,14.1
5.55000,-1.86,10,-9.69,14.1
5.55000,-1.53,9.71,-10,14
5.56000,-1.19,9.37,-10.4,14
5.56000,-0.841,9.01,-10.7,14
5.56000,-0.494,8.64,-11,14
5.56000,-0.148,8.25,-11.3,14
5.56000,0.191,7.85,-11.7,14.1
5.57000,0.522,7.46,-12,14.1
5.57000,0.839,7.06,-12.3,14.2
5.57000,1.13,6.67,-12.6,14.3
5.57000,1.41,6.28,-12.9,14.4
5.57000,1.65,5.88,-13.1,14.5
5.58000,1.86,5.49,-13.4,14.6
5.58000,2.04,5.1,-13.7,14.7
5.58000,2.18,4.74,-13.9,14.9
5.58000,2.29,4.38,-14.2,15
5.59000,2.36,4.05,-14.4,15.2
5.59000,2.4,3.74,-14.7,15.4
5.59000,2.41,3.44,-14.9,15.5
5.59000,2.37,3.17,-15.2,15.7
5.59000,2.3,2.91,-15.4,15.9
5.60000,2.18,2.68,-15.6,16
5.60000,2.04,2.48,-15.8,16.2
5.60000,1.87,2.31,-16,16.3
5.60000,1.66,2.17,-16.2,16.4
5.60000,1.43,2.07,-16.3,16.5
5.61000,1.18,2,-16.4,16.6
5.61000,0.917,1.96,-16.5,16.7
5.61000,0.639,1.97,-16.6,16.7
5.61000,0.349,2.01,-16.6,16.7
5.62000,0.0606,2.08,-16.6,16.8
5.62000,-0.229,2.19,-16.6,16.8
5.62000,-0.515,2.31,-16.6,16.8
5.62000,-0.791,2.46,-16.6,16.8
5.62000,-1.05,2.62,-16.5,16.8
5.63000,-1.3,2.79,-16.5,16.7
5.63000,-1.53,2.97,-16.4,16.7
5.63000,-1.74,3.14,-16.3,16.7
5.63000,-1.93,3.3,-16.2,16.6
5.63000,-2.1,3.43,-16.1,16.6
5.64000,-2.25,3.55,-15.9,16.5
5.64000,-2.38,3.63,-15.8,16.4
5.64000,-2.5,3.69,-15.7,16.3
5.64000,-2.6,3.71,-15.5,16.2
5.64000,-2.68,3.71,-15.4,16.1
5.65000,-2.76,3.69,-15.2,15.9
5.65000,-2.82,3.64,-15.1,15.8
5.65000,-2.87,3.58,-14.9,15.6
5.65000,-2.91,3.49,-14.7,15.4
5.66000,-2.94,3.39,-14.5,15.2
5.66000,-2.96,3.27,-14.3,15
5.66000,-2.98,3.13,-14.1,14.8
5.66000,-2.99,2.98,-13.9,14.5
5.66000,-2.99,2.81,-13.7,14.3
5.67000,-2.98,2.63,-13.5,14
5.67000,-2.97,2.44,-13.2,13.8
5.67000,-2.95,2.24,-13,13.5
5.67000,-2.92,2.02,-12.8,13.3
5.67000,-2.9,1.78,-12.6,13
5.68000,-2.87,1.53,-12.3,12.7
5.68000,-2.83,1.27,-12.1,12.5
5.68000,-2.8,0.991,-11.8,12.2
5.68000,-2.77,0.692,-11.6,12
5.69000,-2.73,0.377,-11.4,11.7
5.69000,-2.7,0.0434,-11.2,11.5
5.69000,-2.67,-0.305,-10.9,11.3
5.69000,-2.63,-0.669,-10.7,11.1
5.69000,-2.6,-1.04,-10.5,10.9
5.70000,-2.57,-1.43,-10.3,10.8
5.70000,-2.55,-1.81,-10.2,10.6
5.70000,-2.52,-2.2,-10,10.6
5.70000,-2.5,-2.6,-9.89,10.5
5.70000,-2.49,-3,-9.78,10.5
5.71000,-2.49,-3.38,-9.69,10.6
5.71000,-2.49,-3.77,-9.62,10.6
5.71000,-2.51,-4.14,-9.57,10.7
5.71000,-2.53,-4.5,-9.56,10.9
5.71000,-2.57,-4.84,-9.57,11
5.72000,-2.63,-5.16,-9.6,11.2
5.72000,-2.7,-5.47,-9.67,11.4
5.72000,-2.79,-5.75,-9.77,11.7
5.72000,-2.9,-6.01,-9.89,11.9
5.73000,-3.03,-6.25,-10.1,12.2
5.73000,-3.18,-6.48,-10.2,12.5
5.73000,-3.35,-6.69,-10.5,12.9
5.73000,-3.55,-6.88,-10.7,13.2
5.73000,-3.77,-7.05,-10.9,13.5
5.74000,-4.01,-7.19,-11.2,13.9
5.74000,-4.28,-7.32,-11.5,14.3
5.74000,-4.58,-7.45,-11.8,14.7
5.74000,-4.91,-7.59,-12.1,15.1
5.74000,-5.26,-7.75,-12.4,15.5
5.75000,-5.65,-7.93,-12.6,16
5.75000,-6.07,-8.12,-12.9,16.4
5.75000,-6.5,-8.28,-13.1,16.8
5.75000,-6.95,-8.4,-13.3,17.2
5.76000,-7.41,-8.49,-13.4,17.5
5.76000,-7.87,-8.57,-13.5,17.9
5.76000,-8.34,-8.61,-13.6,18.1
5.76000,-8.8,-8.61,-13.7,18.4
5.76000,-9.25,-8.58,-13.7,18.6
5.77000,-9.68,-8.51,-13.6,18.7
5.77000,-10.1,-8.43,-13.5,18.9
5.77000,-10.5,-8.31,-13.4,18.9
5.77000,-10.8,-8.18,-13.2,19
5.77000,-11.1,-8.05,-13,18.9
5.78000,-11.4,-7.92,-12.8,18.9
5.78000,-11.7,-7.82,-12.6,18.9
5.78000,-11.9,-7.74,-12.3,18.8
5.78000,-12.1,-7.69,-12,18.7
5.78000,-12.2,-7.69,-11.7,18.6
5.79000,-12.3,-7.73,-11.4,18.5
5.79000,-12.4,-7.8,-11.1,18.4
5.79000,-12.4,-7.92,-10.8,18.2
5.79000,-12.4,-8.1,-10.4,18.1
5.80000,-12.3,-8.33,-10.1,18
5.80000,-12.2,-8.61,-9.8,17.9
5.80000,-12.1,-8.94,-9.5,17.8
5.80000,-11.9,-9.31,-9.2,17.7
5.80000,-11.7,-9.7,-8.92,17.6
5.81000,-11.4,-10.1,-8.66,17.5
5.81000,-11.2,-10.4,-8.41,17.4
5.81000,-10.8,-10.7,-8.2,17.3
5.81000,-10.5,-11,-8.02,17.1
5.81000,-10.1,-11.1,-7.87,17
5.82000,-9.69,-11.2,-7.78,16.7
5.82000,-9.26,-11.2,-7.74,16.5
5.82000,-8.8,-11.1,-7.74,16.2
5.82000,-8.31,-11,-7.8,15.8
5.83000,-7.8,-10.8,-7.9,15.5
5.83000,-7.27,-10.5,-8.05,15.1
5.83000,-6.72,-10.2,-8.23,14.7
5.83000,-6.15,-9.9,-8.44,14.4
5.83000,-5.56,-9.55,-8.68,14
5.84000,-4.95,-9.17,-8.93,13.7
5.84000,-4.32,-8.76,-9.19,13.4
5.84000,-3.68,-8.3,-9.47,13.1
5.84000,-3.05,-7.8,-9.74,12.8
5.84000,-2.4,-7.27,-10,12.6
5.85000,-1.77,-6.72,-10.3,12.4
5.85000,-1.15,-6.14,-10.6,12.3
5.85000,-0.536,-5.56,-10.8,12.2
5.85000,0.0655,-4.98,-11.1,12.2
5.85000,0.652,-4.4,-11.3,12.2
5.86000,1.22,-3.82,-11.5,12.2
5.86000,1.77,-3.25,-11.7,12.3
5.86000,2.3,-2.7,-11.8,12.4
5.86000,2.81,-2.17,-11.9,12.5
5.87000,3.3,-1.67,-12,12.6
5.87000,3.76,-1.2,-12,12.7
5.87000,4.2,-0.751,-12,12.8
5.87000,4.61,-0.334,-12,12.9
5.87000,5,0.047,-12,13
5.88000,5.35,0.394,-11.9,13.1
5.88000,5.68,0.707,-11.8,13.2
5.88000,5.97,0.973,-11.8,13.2
5.88000,6.24,1.19,-11.7,13.3
5.88000,6.47,1.36,-11.6,13.4
5.89000,6.68,1.47,-11.6,13.4
5.89000,6.87,1.52,-11.5,13.5
5.89000,7.03,1.51,-11.5,13.5
5.89000,7.17,1.45,-11.4,13.6
5.90000,7.28,1.35,-11.4,13.6
5.90000,7.37,1.2,-11.4,13.6
5.90000,7.44,1.02,-11.4,13.7
5.90000,7.49,0.801,-11.5,13.7
5.90000,7.53,0.561,-11.5,13.8
5.91000,7.54,0.305,-11.6,13.9
5.91000,7.53,0.0165,-11.7,13.9
5.91000,7.5,-0.296,-11.9,14
5.91000,7.45,-0.618,-12,14.2
5.91000,7.38,-0.939,-12.2,14.3
5.92000,7.3,-1.24,-12.4,14.4
5.92000,7.2,-1.51,-12.6,14.6
5.92000,7.11,-1.74,-12.8,14.8
5.92000,7.01,-1.93,-13.1,15
5.92000,6.92,-2.07,-13.3,15.2
5.93000,6.84,-2.17,-13.6,15.4
5.93000,6.77,-2.24,-13.9,15.6
5.93000,6.7,-2.27,-14.1,15.8
5.93000,6.65,-2.28,-14.4,16
5.94000,6.61,-2.26,-14.7,16.2
5.94000,6.58,-2.24,-14.9,16.5
5.94000,6.56,-2.19,-15.2,16.7
5.94000,6.56,-2.14,-15.4,16.9
5.94000,6.57,-2.08,-15.6,17
5.95000,6.59,-2.02,-15.8,17.2
5.95000,6.63,-1.95,-15.9,17.4
5.95000,6.68,-1.88,-16.1,17.5
5.95000,6.74,-1.8,-16.2,17.6
5.95000,6.82,-1.73,-16.2,17.7
5.96000,6.9,-1.66,-16.3,17.7
5.96000,7.01,-1.6,-16.3,17.8
5.96000,7.12,-1.53,-16.2,17.8
5.96000,7.24,-1.48,-16.2,17.8
5.97000,7.38,-1.42,-16.1,17.8
5.97000,7.53,-1.37,-16,17.7
5.97000,7.68,-1.33,-15.8,17.7
5.97000,7.84,-1.28,-15.7,17.6
5.97000,8.01,-1.24,-15.5,17.5
5.98000,8.18,-1.21,-15.4,17.4
5.98000,8.36,-1.16,-15.2,17.4
5.98000,8.54,-1.12,-15,17.3
5.98000,8.72,-1.08,-14.8,17.2
5.98000,8.9,-1.02,-14.6,17.1
5.99000,9.08,-0.943,-14.4,17.1
5.99000,9.26,-0.844,-14.3,17
5.99000,9.44,-0.72,-14.1,17
5.99000,9.61,-0.58,-13.9,16.9
5.99000,9.78,-0.426,-13.7,16.9
6.00000,9.94,-0.26,-13.6,16.8
6.00000,10.1,-0.0849,-13.5,16.8
6.00000,10.2,0.0947,-13.3,16.8
6.00000,10.4,0.274,-13.2,16.8
6.01000,10.5,0.451,-13.1,16.8
6.01000,10.6,0.622,-13.1,16.9
6.01000,10.7,0.791,-13,16.9
6.01000,10.8,0.958,-13,16.9
6.01000,10.9,1.12,-13,17
6.02000,11,1.28,-13,17
6.02000,11,1.43,-13,17.1
6.02000,11.1,1.58,-13,17.1
6.02000,11.1,1.73,-13,17.2
6.02000,11.1,1.87,-13,17.2
6.03000,11.1,2,-13.1,17.3
6.03000,11.1,2.12,-13.1,17.4
6.03000,11.1,2.23,-13.2,17.4
6.03000,11.1,2.32,-13.3,17.5
6.04000,11.1,2.4,-13.3,17.5
6.04000,11.1,2.48,-13.4,17.6
6.04000,11.1,2.56,-13.4,17.6
6.04000,11.1,2.64,-13.5,17.6
6.04000,11,2.73,-13.5,17.7
6.05000,11,2.8,-13.5,17.7
6.05000,11,2.87,-13.5,17.7
6.05000,11,2.94,-13.5,17.6
6.05000,11,3.02,-13.4,17.6
6.05000,10.9,3.1,-13.3,17.5
6.06000,10.9,3.19,-13.2,17.4
6.06000,10.9,3.28,-13,17.3
6.06000,10.9,3.37,-12.8,17.2
6.06000,10.8,3.47,-12.6,17
6.06000,10.8,3.57,-12.3,16.7
6.07000,10.7,3.68,-12,16.5
6.07000,10.6,3.78,-11.6,16.2
6.07000,10.5,3.89,-11.2,15.9
6.07000,10.4,4.01,-10.8,15.5
6.08000,10.3,4.17,-10.3,15.1
6.08000,10.1,4.38,-9.83,14.8
6.08000,9.95,4.64,-9.31,14.4
6.08000,9.76,4.92,-8.79,14
6.08000,9.55,5.22,-8.27,13.7
6.09000,9.34,5.54,-7.76,13.3
6.09000,9.11,5.89,-7.28,13.1
6.09000,8.87,6.27,-6.83,12.8
6.09000,8.61,6.68,-6.42,12.6
6.09000,8.35,7.09,-6.04,12.5
6.10000,8.09,7.51,-5.71,12.4
6.10000,7.82,7.94,-5.42,12.4
6.10000,7.55,8.36,-5.17,12.4
6.10000,7.29,8.78,-4.96,12.4
6.11000,7.03,9.18,-4.79,12.5
6.11000,6.78,9.57,-4.65,12.6
6.11000,6.55,9.95,-4.54,12.7
6.11000,6.33,10.3,-4.48,12.9
6.11000,6.13,10.7,-4.44,13.1
6.12000,5.95,11,-4.44,13.3
6.12000,5.78,11.3,-4.47,13.5
6.12000,5.62,11.7,-4.53,13.7
6.12000,5.47,12,-4.62,13.9
6.12000,5.33,12.2,-4.72,14.2
6.13000,5.2,12.5,-4.84,14.3
6.13000,5.08,12.6,-4.98,14.5
6.13000,4.97,12.7,-5.13,14.6
6.13000,4.88,12.8,-5.3,14.7
6.14000,4.81,12.8,-5.48,14.7
6.14000,4.75,12.8,-5.67,14.8
6.14000,4.73,12.7,-5.88,14.8
6.14000,4.75,12.6,-6.1,14.8
6.14000,4.8,12.5,-6.33,14.8
6.15000,4.89,12.4,-6.57,14.9
6.15000,5.02,12.3,-6.82,14.9
6.15000,5.2,12.1,-7.07,15
6.15000,5.44,11.9,-7.33,15
6.15000,5.71,11.7,-7.57,15.1
6.16000,6.02,11.6,-7.8,15.2
6.16000,6.37,11.4,-8,15.3
6.16000,6.76,11.2,-8.17,15.4
6.16000,7.17,11.1,-8.31,15.6
6.16000,7.61,11,-8.43,15.8
6.17000,8.06,10.9,-8.52,16
6.17000,8.53,10.9,-8.6,16.3
6.17000,9.01,10.8,-8.67,16.5
6.17000,9.49,10.9,-8.74,16.9
6.18000,9.94,10.9,-8.78,17.2
6.18000,10.4,11,-8.8,17.5
6.18000,10.7,11.1,-8.78,17.8
6.18000,11,11.2,-8.73,18
6.18000,11.2,11.3,-8.64,18.1
6.19000,11.4,11.4,-8.52,18.2
6.19000,11.4,11.5,-8.37,18.2
6.19000,11.3,11.5,-8.2,18.1
6.19000,11.1,11.5,-8.01,17.9
6.19000,10.8,11.5,-7.82,17.6
6.20000,10.4,11.5,-7.6,17.3
6.20000,9.81,11.5,-7.34,16.8
6.20000,9.14,11.5,-7.04,16.3
6.20000,8.36,11.5,-6.72,15.7
6.21000,7.51,11.6,-6.39,15.2
6.21000,6.6,11.6,-6.05,14.7
6.21000,5.67,11.8,-5.72,14.2
6.21000,4.71,11.9,-5.41,13.9
6.21000,3.76,12.1,-5.11,13.7
6.22000,2.82,12.4,-4.84,13.6
6.22000,1.9,12.6,-4.6,13.6
6.22000,1.02,12.9,-4.41,13.6
6.22000,0.191,13.1,-4.26,13.8
6.22000,-0.581,13.4,-4.18,14
6.23000,-1.29,13.6,-4.15,14.2
6.23000,-1.94,13.7,-4.18,14.5
6.23000,-2.53,13.8,-4.29,14.7
6.23000,-3.05,13.9,-4.45,14.9
6.23000,-3.52,13.9,-4.66,15.1
6.24000,-3.93,13.8,-4.94,15.2
6.24000,-4.29,13.6,-5.26,15.2
6.24000,-4.6,13.4,-5.62,15.3
6.24000,-4.85,13.2,-6.02,15.3
6.25000,-5.05,13,-6.44,15.3
6.25000,-5.2,12.7,-6.88,15.3
6.25000,-5.3,12.4,-7.33,15.3
6.25000,-5.36,12.1,-7.8,15.3
6.25000,-5.37,11.7,-8.27,15.3
6.26000,-5.34,11.4,-8.74,15.3
6.26000,-5.26,11,-9.21,15.3
6.26000,-5.14,10.7,-9.67,15.3
6.26000,-4.98,10.3,-10.1,15.2
6.26000,-4.78,9.9,-10.5,15.2
6.27000,-4.54,9.52,-10.9,15.2
6.27000,-4.28,9.15,-11.3,15.1
6.27000,-3.99,8.79,-11.6,15.1
6.27000,-3.68,8.45,-11.9,15.1
6.28000,-3.34,8.14,-12.2,15.1
6.28000,-2.99,7.86,-12.5,15.1
6.28000,-2.62,7.61,-12.7,15.1
6.28000,-2.25,7.39,-13,15.1
6.28000,-1.86,7.19,-13.2,15.1
6.29000,-1.47,6.99,-13.3,15.1
6.29000,-1.09,6.8,-13.5,15.2
6.29000,-0.726,6.61,-13.7,15.2
6.29000,-0.378,6.4,-13.8,15.2
6.29000,-0.0579,6.19,-13.9,15.2
6.30000,0.228,5.96,-14,15.2
6.30000,0.475,5.73,-14.1,15.3
6.30000,0.679,5.49,-14.2,15.3
6.30000,0.843,5.26,-14.3,15.3
6.30000,0.967,5.03,-14.4,15.3
6.31000,1.05,4.83,-14.4,15.2
6.31000,1.1,4.65,-14.5,15.2
6.31000,1.11,4.49,-14.5,15.2
6.31000,1.08,4.37,-14.5,15.2
6.32000,1.03,4.27,-14.5,15.2
6.32000,0.951,4.2,-14.5,15.1
6.32000,0.852,4.18,-14.5,15.1
6.32000,0.74,4.18,-14.4,15
6.32000,0.613,4.21,-14.4,15
6.33000,0.478,4.26,-14.3,14.9
6.33000,0.336,4.33,-14.2,14.9
6.33000,0.189,4.41,-14.1,14.8
6.33000,0.0411,4.5,-14,14.7
6.33000,-0.112,4.58,-13.9,14.6
6.34000,-0.258,4.65,-13.7,14.5
6.34000,-0.409,4.73,-13.6,14.4
6.34000,-0.553,4.8,-13.4,14.3
6.34000,-0.69,4.86,-13.3,14.2
6.35000,-0.823,4.92,-13.1,14
6.35000,-0.945,4.96,-13,13.9
6.35000,-1.06,5,-12.8,13.8
6.35000,-1.17,5.02,-12.6,13.6
6.35000,-1.26,5.03,-12.5,13.5
6.36000,-1.35,5.03,-12.3,13.3
6.36000,-1.42,5.01,-12.1,13.2
6.36000,-1.49,4.98,-11.9,13
6.36000,-1.55,4.94,-11.8,12.9
6.36000,-1.59,4.89,-11.6,12.7
6.37000,-1.63,4.83,-11.4,12.5
6.37000,-1.66,4.77,-11.2,12.3
6.37000,-1.68,4.69,-11.1,12.1
6.37000,-1.69,4.6,-10.9,12
6.37000,-1.7,4.5,-10.7,11.8
6.38000,-1.71,4.38,-10.6,11.6
6.38000,-1.71,4.25,-10.4,11.4
6.38000,-1.71,4.13,-10.2,11.1
6.38000,-1.7,4,-10,10.9
6.39000,-1.69,3.87,-9.88,10.7
6.39000,-1.67,3.75,-9.72,10.5
6.39000,-1.65,3.61,-9.55,10.3
6.39000,-1.64,3.48,-9.39,10.1
6.39000,-1.62,3.34,-9.23,9.95
6.40000,-1.61,3.2,-9.07,9.75
6.40000,-1.6,3.05,-8.9,9.55
6.40000,-1.6,2.91,-8.74,9.35
6.40000,-1.61,2.76,-8.58,9.15
6.40000,-1.62,2.61,-8.41,8.95
6.41000,-1.64,2.46,-8.25,8.76
6.41000,-1.67,2.3,-8.09,8.58
6.41000,-1.71,2.15,-7.93,8.39
6.41000,-1.75,2.01,-7.77,8.21
6.42000,-1.8,1.87,-7.61,8.04
6.42000,-1.87,1.75,-7.44,7.87
6.42000,-1.94,1.64,-7.28,7.71
6.42000,-2.02,1.54,-7.11,7.55
6.42000,-2.11,1.44,-6.95,7.41
6.43000,-2.21,1.35,-6.79,7.26
6.43000,-2.31,1.27,-6.62,7.13
6.43000,-2.42,1.21,-6.46,7
6.43000,-2.53,1.16,-6.3,6.89
6.43000,-2.65,1.11,-6.14,6.78
6.44000,-2.77,1.08,-5.98,6.68
6.44000,-2.89,1.06,-5.83,6.59
6.44000,-3.02,1.04,-5.68,6.51
6.44000,-3.15,1.03,-5.53,6.44
6.44000,-3.27,1.03,-5.38,6.38
6.45000,-3.4,1.03,-5.24,6.33
6.45000,-3.52,1.05,-5.1,6.29
6.45000,-3.64,1.07,-4.97,6.25
6.45000,-3.76,1.1,-4.84,6.23
6.46000,-3.88,1.14,-4.71,6.2
6.46000,-3.99,1.19,-4.58,6.19
6.46000,-4.09,1.25,-4.45,6.17
6.46000,-4.18,1.32,-4.33,6.16
6.46000,-4.27,1.39,-4.2,6.15
6.47000,-4.34,1.48,-4.08,6.14
6.47000,-4.4,1.56,-3.96,6.12
6.47000,-4.46,1.65,-3.84,6.11
6.47000,-4.5,1.74,-3.73,6.1
6.47000,-4.53,1.82,-3.61,6.08
6.48000,-4.55,1.91,-3.5,6.05
6.48000,-4.56,1.98,-3.4,6.02
6.48000,-4.57,2.05,-3.29,5.99
6.48000,-4.57,2.12,-3.19,5.96
6.49000,-4.55,2.18,-3.1,5.92
6.49000,-4.54,2.24,-3,5.88
6.49000,-4.51,2.29,-2.91,5.84
6.49000,-4.48,2.33,-2.82,5.79
6.49000,-4.45,2.37,-2.73,5.74
6.50000,-4.42,2.4,-2.65,5.68
6.50000,-4.38,2.43,-2.56,5.63
6.50000,-4.34,2.45,-2.48,5.56
6.50000,-4.29,2.46,-2.39,5.5
6.50000,-4.25,2.47,-2.31,5.43
6.51000,-4.2,2.47,-2.23,5.36
6.51000,-4.15,2.46,-2.14,5.28
6.51000,-4.11,2.44,-2.06,5.2
6.51000,-4.06,2.41,-1.97,5.12
6.51000,-4.01,2.37,-1.89,5.03
6.52000,-3.96,2.32,-1.8,4.93
6.52000,-3.91,2.26,-1.71,4.83
6.52000,-3.86,2.19,-1.62,4.72
6.52000,-3.81,2.1,-1.52,4.61
6.53000,-3.76,2.01,-1.42,4.49
6.53000,-3.71,1.9,-1.32,4.37
6.53000,-3.66,1.78,-1.22,4.25
6.53000,-3.6,1.65,-1.12,4.12
6.53000,-3.55,1.51,-1.02,3.99
6.54000,-3.49,1.36,-0.927,3.85
6.54000,-3.42,1.19,-0.828,3.72
6.54000,-3.36,1.02,-0.731,3.59
6.54000,-3.29,0.844,-0.635,3.45
6.54000,-3.21,0.662,-0.538,3.32
6.55000,-3.13,0.478,-0.443,3.19
6.55000,-3.03,0.299,-0.347,3.07
6.55000,-2.93,0.122,-0.255,2.95
6.55000,-2.82,-0.0568,-0.163,2.83
6.56000,-2.71,-0.223,-0.0713,2.72
6.56000,-2.58,-0.389,0.0166,2.61
6.56000,-2.45,-0.546,0.103,2.51
6.56000,-2.3,-0.695,0.186,2.41
6.56000,-2.15,-0.834,0.266,2.32
6.57000,-1.99,-0.951,0.342,2.23
6.57000,-1.82,-1.05,0.415,2.14
6.57000,-1.64,-1.14,0.487,2.06
6.57000,-1.46,-1.22,0.559,1.98
6.57000,-1.26,-1.28,0.63,1.9
6.58000,-1.06,-1.33,0.701,1.84
6.58000,-0.856,-1.36,0.77,1.78
6.58000,-0.644,-1.38,0.84,1.74
6.58000,-0.434,-1.38,0.907,1.71
6.59000,-0.218,-1.37,0.974,1.7
6.59000,-0.00168,-1.35,1.04,1.7
6.59000,0.213,-1.31,1.1,1.72
6.59000,0.432,-1.26,1.15,1.76
6.59000,0.645,-1.22,1.21,1.83
6.60000,0.855,-1.16,1.25,1.91
6.60000,1.06,-1.11,1.3,2.01
6.60000,1.26,-1.05,1.34,2.12
6.60000,1.45,-1.01,1.38,2.24
6.60000,1.62,-0.967,1.42,2.36
6.61000,1.79,-0.941,1.45,2.49
6.61000,1.95,-0.933,1.49,2.62
6.61000,2.09,-0.936,1.51,2.74
6.61000,2.22,-0.955,1.54,2.87
6.61000,2.34,-0.982,1.56,2.98
6.62000,2.44,-1.02,1.58,3.08
6.62000,2.53,-1.06,1.59,3.17
6.62000,2.62,-1.12,1.6,3.26
6.62000,2.69,-1.18,1.6,3.34
6.63000,2.75,-1.24,1.6,3.42
6.63000,2.8,-1.31,1.6,3.48
6.63000,2.84,-1.38,1.6,3.54
6.63000,2.88,-1.45,1.59,3.59
6.63000,2.91,-1.51,1.58,3.64
6.64000,2.93,-1.58,1.56,3.68
6.64000,2.95,-1.63,1.55,3.7
6.64000,2.96,-1.68,1.53,3.73
6.64000,2.96,-1.72,1.51,3.74
6.64000,2.96,-1.76,1.49,3.75
6.65000,2.96,-1.79,1.47,3.76
6.65000,2.95,-1.81,1.45,3.75
6.65000,2.94,-1.82,1.43,3.74
6.65000,2.93,-1.83,1.42,3.73
6.66000,2.91,-1.82,1.4,3.71
6.66000,2.9,-1.82,1.39,3.69
6.66000,2.88,-1.81,1.38,3.66
6.66000,2.85,-1.79,1.37,3.64
6.66000,2.83,-1.77,1.37,3.61
6.67000,2.81,-1.75,1.37,3.58
6.67000,2.78,-1.73,1.37,3.55
6.67000,2.76,-1.71,1.37,3.52
6.67000,2.73,-1.69,1.38,3.5
6.67000,2.71,-1.67,1.38,3.47
6.68000,2.68,-1.65,1.39,3.44
6.68000,2.66,-1.64,1.4,3.42
6.68000,2.63,-1.62,1.4,3.39
6.68000,2.6,-1.6,1.41,3.37
6.68000,2.57,-1.59,1.42,3.34
6.69000,2.54,-1.57,1.43,3.31
6.69000,2.51,-1.55,1.44,3.28
6.69000,2.47,-1.53,1.44,3.24
6.69000,2.43,-1.5,1.44,3.2
6.70000,2.39,-1.47,1.44,3.15
6.70000,2.35,-1.43,1.44,3.1
6.70000,2.3,-1.39,1.43,3.04
6.70000,2.25,-1.34,1.42,2.98
6.70000,2.19,-1.29,1.41,2.91
6.71000,2.13,-1.24,1.4,2.84
6.71000,2.07,-1.19,1.38,2.76
6.71000,2,-1.14,1.36,2.68
6.71000,1.93,-1.09,1.34,2.59
6.71000,1.85,-1.04,1.32,2.5
6.72000,1.77,-0.989,1.3,2.41
6.72000,1.68,-0.936,1.27,2.3
6.72000,1.58,-0.886,1.25,2.2
6.72000,1.48,-0.83,1.22,2.09
6.73000,1.38,-0.774,1.2,1.98
6.73000,1.28,-0.712,1.17,1.87
6.73000,1.17,-0.648,1.14,1.76
6.73000,1.06,-0.58,1.12,1.64
6.73000,0.951,-0.505,1.09,1.53
6.74000,0.843,-0.427,1.07,1.42
6.74000,0.74,-0.348,1.04,1.33
6.74000,0.636,-0.266,1.02,1.23
6.74000,0.536,-0.18,0.999,1.15
6.74000,0.441,-0.0922,0.981,1.08
6.75000,0.35,-0.00672,0.962,1.02
6.75000,0.266,0.0751,0.948,0.987
6.75000,0.188,0.153,0.93,0.962
6.75000,0.116,0.224,0.918,0.952
6.75000,0.0521,0.289,0.906,0.952
6.76000,-0.00779,0.351,0.896,0.963
6.76000,-0.064,0.404,0.888,0.977
6.76000,-0.11,0.451,0.882,0.997
6.76000,-0.152,0.495,0.876,1.02
6.77000,-0.187,0.531,0.872,1.04
6.77000,-0.218,0.563,0.868,1.06
6.77000,-0.246,0.586,0.866,1.07
6.77000,-0.264,0.605,0.863,1.09
6.77000,-0.28,0.614,0.865,1.1
6.78000,-0.291,0.616,0.868,1.1
6.78000,-0.295,0.613,0.874,1.11
6.78000,-0.297,0.603,0.883,1.11
6.78000,-0.292,0.589,0.893,1.11
6.78000,-0.285,0.572,0.902,1.11
6.79000,-0.273,0.554,0.911,1.1
6.79000,-0.261,0.536,0.92,1.1
6.79000,-0.246,0.514,0.927,1.09
6.79000,-0.231,0.492,0.933,1.08
6.80000,-0.215,0.467,0.939,1.07
6.80000,-0.197,0.439,0.941,1.06
6.80000,-0.179,0.415,0.943,1.05
6.80000,-0.162,0.385,0.945,1.03
6.80000,-0.147,0.355,0.946,1.02
6.81000,-0.13,0.327,0.945,1.01
6.81000,-0.118,0.301,0.945,0.999
6.81000,-0.104,0.273,0.943,0.987
6.81000,-0.0933,0.244,0.939,0.975
6.81000,-0.0823,0.213,0.934,0.962
6.82000,-0.0725,0.185,0.929,0.95
6.82000,-0.064,0.156,0.926,0.941
6.82000,-0.0567,0.13,0.92,0.93
6.82000,-0.0457,0.106,0.913,0.921
6.82000,-0.0383,0.0812,0.906,0.911
6.83000,-0.031,0.0556,0.9,0.902
6.83000,-0.0224,0.0336,0.893,0.894
6.83000,-0.0151,0.00916,0.887,0.887
6.83000,-0.00901,-0.014,0.882,0.882
6.84000,0.00076,-0.0397,0.876,0.876
6.84000,0.00687,-0.0654,0.869,0.872
6.84000,0.0154,-0.0935,0.863,0.868
6.84000,0.0228,-0.12,0.856,0.865
6.84000,0.0289,-0.15,0.851,0.865
6.85000,0.0362,-0.178,0.846,0.865
6.85000,0.0472,-0.206,0.838,0.864
6.85000,0.057,-0.232,0.83,0.864
6.85000,0.0692,-0.255,0.822,0.863
6.85000,0.0814,-0.278,0.814,0.864
6.86000,0.0936,-0.296,0.806,0.864
